Name,Description,FKBP5,Kallikrein2,ZBTB10,BM039,TMEPAI,NKX3-1,KLK3,EAF2,MED28,ABCC4,SARG,GNMT,MPHOSPH9,NNMT,TNK1,MGC4504,MAN1A1,GLRA2,CD200,SRP72,MAF,ACSL3,HERC3,PTGER4,,Class
unstimulatedA_501C_A02,unstimulated,258,293.5,174,156.5,205,1864,1362,96,87.5,303,85,108.5,119,169.5,1171,8607,81,536,653,390.5,192,109,519,136,,0
unstimulatedA_501C_C02,unstimulated,216,251.5,208,201,162,1498,992,83,78,304,86,106,114,189,829.5,8804,85,490,595.5,346,253,113.5,360.5,159,,0
unstimulatedA_501C_E02,unstimulated,186,208,142,135,150,1591.5,906,79,96.5,231,64,78.5,91.5,170,766.5,8309,93,406,481.5,315,182,82.5,289.5,101.5,,0
unstimulatedA_501C_G02,unstimulated,142.5,96,81,91,73,744,440,50,56.5,157.5,55.5,60,63,95.5,241,8577,83,161,169,201,124.5,72,193.5,72,,0
unstimulatedA_501C_I02,unstimulated,109,138.5,84,92,106.5,1314,575,66,59,144,54,73,75,118,593.5,8808,81,418,573,225,95,62,223.5,85.5,,0
unstimulatedA_501C_K02,unstimulated,176,168,131,101.5,148,1505,315,64,56,191.5,92,89,94,167,982.5,9143.5,85.5,591,840,424,99,60,179,125,,0
unstimulatedA_501C_M02,unstimulated,156,149,106,101,102.5,1290.5,493.5,58,48,176,63.5,52.5,85,114.5,669,8776,93,390,395.5,289,81,81.5,226,94,,0
unstimulatedA_501C_O02,unstimulated,188.5,125,81,85,112,1296,328.5,59.5,44,156,76,55,94,122,692,8960,89.5,438.5,467,301,90,75,169.5,112,,0
unstimulatedA_502A_A02,unstimulated,192.5,241,194,163,181,1560,1449,69,41,398.5,47,110,110.5,96,913,14986,71,386,678,259.5,336.5,140,541,128,,0
unstimulatedA_502A_C02,unstimulated,79.5,128.5,121.5,244.5,100,1232.5,1226.5,80,70,348,41,92,97,129,567.5,15881,83.5,188,253.5,186,361,100,371,67,,0
unstimulatedA_502A_E02,unstimulated,113,131,106,108,100.5,1348,741,49,29,230,37,64,74,116.5,712,14604,69,307,469,239,161.5,63,228,88,,0
unstimulatedA_502A_G02,unstimulated,93,140,95,129,84.5,1208.5,532,77,58,187.5,60,72,74,89,484,15617,74.5,160,237.5,196,170,64,183,73,,0
unstimulatedA_502A_I02,unstimulated,82,62,66,85,59,1187,559,42,30.5,147,48.5,55,76,61,443,16096,65,151,231,166.5,96,55,143,49,,0
